Num,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
7523,12:00:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7524,21:44:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
7525,21:44:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
7526,20:14:00,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7527,17:25:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7528,17:25:00,Wednesday,Unknown,Male,Elementary school,Employee,1-2yr,Other,,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,1,Moving Backward,na,na,na,na,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
7529,17:25:00,Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
7530,15:51:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
7531,10:45:00,Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7532,10:45:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
7533,10:45:00,Thursday,Over 51,Male,Elementary school,Owner,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,na,na,na,na,,,Not a Pedestrian,Driving carelessly,Slight Injury
7534,15:56:00,Friday,31-50,Male,Elementary school,Employee,Above 10yr,Public (> 45 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7535,15:56:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7536,17:23:00,Thursday,18-30,Male,,,,Public (> 45 seats),Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
7537,17:23:00,Thursday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,5-10yrs,, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Passenger,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7538,17:23:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Moving Backward,Driver or rider,Male,18-30,3,,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7539,14:09:00,Thursday,Over 51,Male,,,,Lorry (41?100Q),Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,Over 51,2,Other,Normal,Unknown or other,No distancing,Slight Injury
7540,14:09:00,Thursday,31-50,Male,,,,Public (12 seats),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
7541,15:15:00,Thursday,18-30,Male,High school,Owner,1-2yr,Public (12 seats),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7542,15:15:00,Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,,,,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7543,16:52:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
7544,16:52:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Below 1yr,, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7545,8:46:00,Friday,Over 51,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Residential areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
7546,8:55:00,Monday,Over 51,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
7547,8:55:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,,No defect,  Recreational areas,other,,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7548,17:18:00,Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,,No defect,Office areas,other,Tangent road with mild grade and flat terrain,No junction,,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7549,17:18:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7550,17:18:00,Sunday,18-30,Male,High school,Employee,2-5yr,,,,,,,,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
7551,17:54:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7552,22:35:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Overtaking,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Fatal injury
7553,0:10:00,Sunday,Unknown,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
7554,0:10:00,Sunday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7555,0:10:00,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7556,21:45:00,Tuesday,18-30,Male,Elementary school,Other,5-10yr,Other,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,U-Turn,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7557,21:45:00,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
7558,21:45:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
7559,21:45:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving to the left,Slight Injury
7560,21:45:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,5,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7561,12:31:00,Friday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7562,16:52:00,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Overtaking,Slight Injury
7563,16:52:00,Wednesday,18-30,Male,Junior high school,Owner,1-2yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7564,8:20:00,Friday,Over 51,Male,Elementary school,Employee,Above 10yr,,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
7565,2:00:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
7566,2:00:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
7567,16:15:00,Friday,Over 51,Male,Elementary school,Employee,Above 10yr,Public (12 seats),Owner,,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,,,"Walking along in carriageway, back to traffic",Moving Backward,Slight Injury
7568,16:15:00,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
7569,15:45:00,Monday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),,,,Residential areas,other,,Other,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
7570,17:36:00,Monday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,na,na,Unemployed,Normal,Not a Pedestrian,No distancing,Slight Injury
7571,17:36:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,U-Turn,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
7572,17:36:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,,3,1,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7573,13:12:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),,,,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,No priority to vehicle,Slight Injury
7574,13:12:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Motorcycle,Owner,,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,,2,1,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
7575,12:20:00,Monday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
7576,16:09:00,Friday,Over 51,Male,High school,Other,Above 10yr,Ridden horse,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
7577,16:09:00,Friday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
7578,20:29:00,Tuesday,18-30,Male,Elementary school,,,Lorry (41?100Q),Governmental,,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
7579,15:14:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Turnover,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
7580,15:14:00,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Getting off,na,na,na,na,Unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7581,15:14:00,Tuesday,Unknown,Female,Junior high school,Owner,Below 1yr,Stationwagen,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7582,15:42:00,Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,Serious Injury
7583,15:42:00,Tuesday,Under 18,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,No distancing,Serious Injury
7584,16:30:00,Monday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,,7, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,Female,18-30,3,Other,Normal,Crossing from driver's nearside,No priority to pedestrian,Serious Injury
7585,16:30:00,Monday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Above 10yr,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
7586,11:31:00,Monday,Over 51,Male,Junior high school,Owner,2-5yr,Automobile,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,3,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
7587,11:31:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,U-Turn,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
7588,11:31:00,Monday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7589,19:30:00,Thursday,Under 18,Unknown,Junior high school,Employee,1-2yr,Automobile,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7590,19:30:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,U-Turn,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
7591,19:30:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Taxi,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Stopping,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
7592,18:57:00,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Unknown or other,No distancing,Serious Injury
7593,18:57:00,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
7594,18:57:00,Friday,31-50,Male,Elementary school,Owner,2-5yr,Stationwagen,Owner,Below 1yr,,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
7595,16:20:00,Friday,31-50,Male,Elementary school,Employee,Below 1yr,Stationwagen,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
7596,13:40:00,Saturday,18-30,Male,,,,Automobile,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
7597,13:40:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
7598,20:03:00,Saturday,Unknown,Male,High school,Employee,1-2yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Moving Backward,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7599,20:03:00,Saturday,31-50,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
7600,18:20:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,18-30,3,Student,Normal,Not a Pedestrian,Moving Backward,Slight Injury
